t,H,observed_EL,theory_EL
0.39,256,117.19133819023253,117.14107940009163
0.40499999999999997,256,116.61078565239339,116.55779382870975
0.42,256,116.0038178747844,115.9479656678874
0.435,256,115.36972983554062,115.31088626351985
0.44999999999999996,256,114.7078485386038,114.64587912776979
0.46499999999999997,256,114.01753883938423,113.95230579605854
0.48,256,113.29820948101786,113.22957189135103
0.495,256,112.54931929302917,112.47713335551559
0.51,256,111.77038349617506,111.6945027858043
0.525,256,110.9609800493642,110.88125581390025
0.54,256,110.12075596704787,110.03703745521247
0.5549999999999999,256,109.24943352861726,109.16156834949761
0.57,256,108.34681629538625,108.25465080788692
0.585,256,107.41279484596241,107.31617457660658
0.6,256,106.44735213748615,106.34612222434211
0.615,256,105.45056839860331,105.34457405859033
0.63,256,104.42262546036102,104.3117124766892
0.645,256,103.36381043366643,103.24782565970855
0.6599999999999999,256,102.27451864665706,102.15331052215431
0.6749999999999999,256,101.15525576236621,101.02867483755703
0.69,256,100.0066390064199,99.87453846946731
0.705,256,98.82939744607737,98.69163364907357
0.72,256,97.62437127554875,97.48080425441013
0.735,256,96.3925100779231,96.24300406165959
0.75,256,95.13487005086937,94.97929395602605
0.765,256,93.85261020111507,93.69083810763499
0.78,256,92.54698753108096,92.37889913641615
0.7949999999999999,256,91.2193512594416,91.04483230842936
0.8099999999999999,256,89.87113613525253,89.69007882404973
0.825,256,88.50385492210226,88.31615827530416
0.84,256,87.11909014400678,86.92466036493582
0.855,256,85.71848519800807,85.5172359930036
0.87,256,84.30373494927919,84.09558782761789
0.885,256,82.87657593267565,82.66146048446717
0.8999999999999999,256,81.43877628990468,81.21663044490612
0.9149999999999999,256,79.9921255737117,79.76289584446386
0.9299999999999999,256,78.53842454971881,78.30206626270623
0.945,256,77.07947512290784,76.83595264157127
0.96,256,75.61707050942799,75.36635745281225
0.975,256,74.15298576571969,73.89506522632468
0.99,256,72.68896877623597,72.42383354026688
1.005,256,71.22673178871877,70.9543845614221
1.02,256,69.76794357248042,69.48839721062751
1.035,256,68.31422226089167,68.02750001375597
1.05,256,66.8671289247201,66.57326468411347
1.065,256,65.42816190850175,65.12720046761402
1.08,256,63.998751948127875,63.69074926807468
1.095,256,62.58025807461101,62.26528155675845
1.1099999999999999,256,61.17396429681108,60.85209305812843
1.125,256,59.78107704496047,59.45240219287389
1.14,256,58.40272334725993,58.06734824975045
